name,value,ticks
prediction_position_error_mm,0,100000
prediction_orientation_error_deg,0,100000
prediction_position_error_mm,0,200000
prediction_orientation_error_deg,0,200000
prediction_position_error_mm,0,300000
prediction_orientation_error_deg,0,300000
prediction_position_error_mm,0,400000
prediction_orientation_error_deg,0,400000
prediction_position_error_mm,0,500000
prediction_orientation_error_deg,0,500000
prediction_position_error_mm,0,600000
prediction_orientation_error_deg,0,600000
prediction_position_error_mm,0,700000
prediction_orientation_error_deg,0,700000
prediction_position_error_mm,0,800000
prediction_orientation_error_deg,0,800000
prediction_position_error_mm,0,900000
prediction_orientation_error_deg,0,900000
prediction_position_error_mm,0,1000000
prediction_orientation_error_deg,0,1000000
prediction_position_error_mm,0,1100000
prediction_orientation_error_deg,0,1100000
prediction_position_error_mm,0,1200000
prediction_orientation_error_deg,0,1200000
prediction_position_error_mm,0,1300000
prediction_orientation_error_deg,0,1300000
prediction_position_error_mm,0,1400000
prediction_orientation_error_deg,0,1400000
prediction_position_error_mm,0,1500000
prediction_orientation_error_deg,0,1500000
prediction_position_error_mm,0,1600000
prediction_orientation_error_deg,0,1600000
prediction_position_error_mm,1300.0091314315796,1700000
prediction_orientation_error_deg,0,1700000
prediction_position_error_mm,1300.0091314315796,1800000
prediction_orientation_error_deg,0,1800000
prediction_position_error_mm,1300.020456314087,1900000
prediction_orientation_error_deg,0,1900000
prediction_position_error_mm,1300.0564575195312,2000000
prediction_orientation_error_deg,0,2000000
prediction_position_error_mm,1300.0564575195312,2100000
prediction_orientation_error_deg,0,2100000
prediction_position_error_mm,1300.0812530517578,2200000
prediction_orientation_error_deg,0,2200000
prediction_position_error_mm,1300.143837928772,2300000
prediction_orientation_error_deg,0,2300000
prediction_position_error_mm,1300.143837928772,2400000
prediction_orientation_error_deg,0,2400000
prediction_position_error_mm,1300.2238273620605,2500000
prediction_orientation_error_deg,0,2500000
prediction_position_error_mm,1300.2238273620605,2600000
prediction_orientation_error_deg,0,2600000
prediction_position_error_mm,1300.2238273620605,2700000
prediction_orientation_error_deg,0,2700000
prediction_position_error_mm,1300.2238273620605,2800000
prediction_orientation_error_deg,0,2800000
prediction_position_error_mm,1300.3751039505005,2900000
prediction_orientation_error_deg,0,2900000
prediction_position_error_mm,1300.3751039505005,3000000
prediction_orientation_error_deg,0,3000000
prediction_position_error_mm,1300.4335165023804,3100000
prediction_orientation_error_deg,0,3100000
owd_uplink_ms,139.4582,3200000
owd_downlink_ms,139.4582,3200000
correction_magnitude_mm,1300.0091314315796,1778296
correction_magnitude_deg,0,1778296
prediction_position_error_mm,69.68434154987335,3200000
prediction_orientation_error_deg,0,3200000
prediction_position_error_mm,79.5501321554184,3300000
prediction_orientation_error_deg,0,3300000
owd_uplink_ms,166.3662,3400000
owd_downlink_ms,147.647,3400000
prediction_position_error_mm,79.5501321554184,3400000
prediction_orientation_error_deg,0,3400000
owd_uplink_ms,152.1445,3500000
owd_downlink_ms,149.0552,3500000
owd_uplink_ms,143.9295,3500000
owd_downlink_ms,141.4318,3500000
correction_magnitude_mm,13.340379111468792,2047912
correction_magnitude_deg,0,2047912
prediction_position_error_mm,70.55802643299103,3500000
prediction_orientation_error_deg,0,3500000
owd_uplink_ms,169.5958,3600000
owd_downlink_ms,157.352,3600000
owd_uplink_ms,149.8725,3600000
owd_downlink_ms,153.5055,3600000
prediction_position_error_mm,79.80459183454514,3600000
prediction_orientation_error_deg,0,3600000
prediction_position_error_mm,79.23572510480881,3700000
prediction_orientation_error_deg,0,3700000
owd_uplink_ms,138.4898,3800000
owd_downlink_ms,137.2896,3800000
correction_magnitude_mm,22.67111837863922,2335647
correction_magnitude_deg,0,2335647
owd_uplink_ms,145.3078,3800000
owd_downlink_ms,149.1311,3800000
owd_uplink_ms,157.5759,3800000
owd_downlink_ms,134.3497,3800000
correction_magnitude_mm,15.259681269526482,2411393
correction_magnitude_deg,0,2411393
prediction_position_error_mm,55.44213578104973,3800000
prediction_orientation_error_deg,0,3800000
prediction_position_error_mm,58.92763286828995,3900000
prediction_orientation_error_deg,0,3900000
prediction_position_error_mm,72.14020937681198,4000000
prediction_orientation_error_deg,0,4000000
owd_uplink_ms,138.0253,4100000
owd_downlink_ms,148.6902,4100000
correction_magnitude_mm,19.046656787395477,2524724
correction_magnitude_deg,0,2524724
owd_uplink_ms,167.9934,4100000
owd_downlink_ms,140.3285,4100000
correction_magnitude_mm,10.166579857468605,2690144
correction_magnitude_deg,0,2690144
prediction_position_error_mm,51.440730690956116,4100000
prediction_orientation_error_deg,0,4100000
prediction_position_error_mm,54.197851568460464,4200000
prediction_orientation_error_deg,0,4200000
prediction_position_error_mm,52.102744579315186,4300000
prediction_orientation_error_deg,0,4300000
prediction_position_error_mm,64.49365615844727,4400000
prediction_orientation_error_deg,0,4400000
owd_uplink_ms,159.9886,4500000
owd_downlink_ms,157.5313,4500000
correction_magnitude_mm,17.893511801958084,2887073
correction_magnitude_deg,0,2887073
owd_uplink_ms,148.9825,4500000
owd_downlink_ms,158.293,4500000
correction_magnitude_mm,12.249568477272987,2898711
correction_magnitude_deg,0,2898711
prediction_position_error_mm,3.2848725095391273,4500000
prediction_orientation_error_deg,0,4500000
owd_uplink_ms,149.4386,4600000
owd_downlink_ms,140.6954,4600000
correction_magnitude_mm,7.452970370650291,3187782
correction_magnitude_deg,0,3187782
prediction_position_error_mm,3.4412022214382887,4600000
prediction_orientation_error_deg,0,4600000
owd_uplink_ms,153.8839,4700000
owd_downlink_ms,156.5464,4700000
owd_uplink_ms,166.2156,4700000
owd_downlink_ms,168.404,4700000
owd_uplink_ms,132.559,4700000
owd_downlink_ms,139.5566,4700000
correction_magnitude_mm,8.653382770717144,3302592
correction_magnitude_deg,0,3302592
prediction_position_error_mm,12.685514986515045,4700000
prediction_orientation_error_deg,0,4700000
owd_uplink_ms,146.1098,4800000
owd_downlink_ms,149.7786,4800000
prediction_position_error_mm,9.387576021254063,4800000
prediction_orientation_error_deg,0,4800000
prediction_position_error_mm,10.532848536968231,4900000
prediction_orientation_error_deg,0,4900000
prediction_position_error_mm,16.074560582637787,5000000
prediction_orientation_error_deg,0,5000000
owd_uplink_ms,154.9467,5100000
owd_downlink_ms,163.8406,5100000
prediction_position_error_mm,21.22626267373562,5100000
prediction_orientation_error_deg,0,5100000
owd_uplink_ms,152.1893,5200000
owd_downlink_ms,159.2575,5200000
owd_uplink_ms,137.6077,5200000
owd_downlink_ms,153.2026,5200000
prediction_position_error_mm,13.009111396968365,5200000
prediction_orientation_error_deg,0,5200000
owd_uplink_ms,170.7059,5300000
owd_downlink_ms,146.6405,5300000
correction_magnitude_mm,8.740447461605072,3816540
correction_magnitude_deg,0,3816540
prediction_position_error_mm,9.638410061597824,5300000
prediction_orientation_error_deg,0,5300000
owd_uplink_ms,143.0846,5400000
owd_downlink_ms,132.1995,5400000
owd_uplink_ms,134.8605,5400000
owd_downlink_ms,133.6882,5400000
prediction_position_error_mm,11.86363585293293,5400000
prediction_orientation_error_deg,0,5400000
prediction_position_error_mm,17.25516840815544,5500000
prediction_orientation_error_deg,0,5500000
owd_uplink_ms,154.8359,5600000
owd_downlink_ms,161.1038,5600000
prediction_position_error_mm,22.79406599700451,5600000
prediction_orientation_error_deg,0,5600000
prediction_position_error_mm,19.532429054379463,5700000
prediction_orientation_error_deg,0,5700000
owd_uplink_ms,144.5117,5800000
owd_downlink_ms,151.7531,5800000
correction_magnitude_mm,5.466407630592585,4218352
