name,value,ticks
prediction_position_error_mm,0,100000
prediction_orientation_error_deg,0,100000
prediction_position_error_mm,0,200000
prediction_orientation_error_deg,0,200000
prediction_position_error_mm,0,300000
prediction_orientation_error_deg,0,300000
prediction_position_error_mm,1299.9999523162842,400000
prediction_orientation_error_deg,0,400000
prediction_position_error_mm,1300.0023365020752,500000
prediction_orientation_error_deg,0,500000
prediction_position_error_mm,1300.0091314315796,600000
prediction_orientation_error_deg,0,600000
owd_uplink_ms,20.3715,700000
owd_downlink_ms,20.3715,700000
correction_magnitude_mm,1299.9999523162842,400000
correction_magnitude_deg,0,400000
prediction_position_error_mm,19.995011389255524,700000
prediction_orientation_error_deg,0,700000
owd_uplink_ms,21.1143,800000
owd_downlink_ms,21.1143,800000
prediction_position_error_mm,18.04506406188011,800000
prediction_orientation_error_deg,0,800000
owd_uplink_ms,21.0815,900000
owd_downlink_ms,21.0815,900000
correction_magnitude_mm,8.3494046702981,600000
correction_magnitude_deg,0,600000
owd_uplink_ms,19.9664,900000
owd_downlink_ms,19.9664,900000
correction_magnitude_mm,15.439772047102451,700000
correction_magnitude_deg,0,700000
prediction_position_error_mm,19.06878687441349,900000
prediction_orientation_error_deg,0,900000
owd_uplink_ms,21.9404,1000000
owd_downlink_ms,21.9404,1000000
prediction_position_error_mm,18.205132335424423,1000000
prediction_orientation_error_deg,0,1000000
owd_uplink_ms,19.6971,1100000
owd_downlink_ms,19.6971,1100000
correction_magnitude_mm,19.06878687441349,900000
correction_magnitude_deg,0,900000
prediction_position_error_mm,16.039034351706505,1100000
prediction_orientation_error_deg,0,1100000
owd_uplink_ms,21.9402,1200000
owd_downlink_ms,21.9402,1200000
prediction_position_error_mm,24.859778583049774,1200000
prediction_orientation_error_deg,0,1200000
prediction_position_error_mm,28.68938446044922,1300000
prediction_orientation_error_deg,0,1300000
owd_uplink_ms,21.4959,1400000
owd_downlink_ms,21.4959,1400000
correction_magnitude_mm,16.039034351706505,1100000
correction_magnitude_deg,0,1100000
owd_uplink_ms,19.7779,1400000
owd_downlink_ms,19.7779,1400000
correction_magnitude_mm,19.80753056704998,1200000
correction_magnitude_deg,0,1200000
prediction_position_error_mm,14.875839464366436,1400000
prediction_orientation_error_deg,0,1400000
owd_uplink_ms,20.2177,1500000
owd_downlink_ms,20.2177,1500000
owd_uplink_ms,19.8871,1500000
owd_downlink_ms,19.8871,1500000
correction_magnitude_mm,16.86016470193863,1300000
correction_magnitude_deg,0,1300000
prediction_position_error_mm,16.766607761383057,1500000
prediction_orientation_error_deg,0,1500000
prediction_position_error_mm,14.276809990406036,1600000
prediction_orientation_error_deg,0,1600000
owd_uplink_ms,18.3839,1700000
owd_downlink_ms,18.3839,1700000
correction_magnitude_mm,16.766607761383057,1500000
correction_magnitude_deg,0,1500000
prediction_position_error_mm,16.177231445908546,1700000
prediction_orientation_error_deg,0,1700000
owd_uplink_ms,20.6443,1800000
owd_downlink_ms,20.6443,1800000
prediction_position_error_mm,13.436623848974705,1800000
prediction_orientation_error_deg,0,1800000
owd_uplink_ms,18.2666,1900000
owd_downlink_ms,18.2666,1900000
correction_magnitude_mm,16.177231445908546,1700000
correction_magnitude_deg,0,1700000
prediction_position_error_mm,15.255437232553959,1900000
prediction_orientation_error_deg,0,1900000
owd_uplink_ms,21.5173,2000000
owd_downlink_ms,21.5173,2000000
prediction_position_error_mm,12.273445725440979,2000000
prediction_orientation_error_deg,0,2000000
owd_uplink_ms,19.2835,2100000
owd_downlink_ms,19.2835,2100000
correction_magnitude_mm,15.255437232553959,1900000
correction_magnitude_deg,0,1900000
prediction_position_error_mm,9.196248836815357,2100000
prediction_orientation_error_deg,0,2100000
owd_uplink_ms,20.3029,2200000
owd_downlink_ms,20.3029,2200000
prediction_position_error_mm,15.838352963328362,2200000
prediction_orientation_error_deg,0,2200000
prediction_position_error_mm,12.630833312869072,2300000
prediction_orientation_error_deg,0,2300000
owd_uplink_ms,20.0354,2400000
owd_downlink_ms,20.0354,2400000
correction_magnitude_mm,9.196248836815357,2100000
correction_magnitude_deg,0,2100000
owd_uplink_ms,18.7151,2400000
owd_downlink_ms,18.7151,2400000
correction_magnitude_mm,12.94153556227684,2200000
correction_magnitude_deg,0,2200000
prediction_position_error_mm,6.507835350930691,2400000
prediction_orientation_error_deg,0,2400000
owd_uplink_ms,21.8495,2500000
owd_downlink_ms,21.8495,2500000
prediction_position_error_mm,7.6811970211565495,2500000
prediction_orientation_error_deg,0,2500000
prediction_position_error_mm,8.846495300531387,2600000
prediction_orientation_error_deg,0,2600000
owd_uplink_ms,20.9678,2700000
owd_downlink_ms,20.9678,2700000
correction_magnitude_mm,6.507835350930691,2400000
correction_magnitude_deg,0,2400000
prediction_position_error_mm,7.759143132716417,2700000
prediction_orientation_error_deg,0,2700000
owd_uplink_ms,21.1339,2800000
owd_downlink_ms,21.1339,2800000
correction_magnitude_mm,5.631342530250549,2500000
correction_magnitude_deg,0,2500000
prediction_position_error_mm,6.615472957491875,2800000
prediction_orientation_error_deg,0,2800000
owd_uplink_ms,21.1731,2900000
owd_downlink_ms,21.1731,2900000
prediction_position_error_mm,5.603605415672064,2900000
prediction_orientation_error_deg,0,2900000
owd_uplink_ms,20.7538,3000000
owd_downlink_ms,20.7538,3000000
prediction_position_error_mm,4.714816343039274,3000000
prediction_orientation_error_deg,0,3000000
owd_uplink_ms,20.6302,3100000
owd_downlink_ms,20.6302,3100000
prediction_position_error_mm,3.9398898370563984,3100000
prediction_orientation_error_deg,0,3100000
owd_uplink_ms,20.6595,3200000
owd_downlink_ms,20.6595,3200000
prediction_position_error_mm,3.2693457324057817,3200000
prediction_orientation_error_deg,0,3200000
owd_uplink_ms,21.4931,3300000
owd_downlink_ms,21.4931,3300000
prediction_position_error_mm,2.6943751145154238,3300000
prediction_orientation_error_deg,0,3300000
owd_uplink_ms,21.2442,3400000
owd_downlink_ms,21.2442,3400000
prediction_position_error_mm,6.9131189957261086,3400000
prediction_orientation_error_deg,0,3400000
owd_uplink_ms,20.4203,3500000
owd_downlink_ms,20.4203,3500000
prediction_position_error_mm,6.459152791649103,3500000
prediction_orientation_error_deg,0,3500000
owd_uplink_ms,21.0619,3600000
owd_downlink_ms,21.0619,3600000
owd_uplink_ms,18.7822,3600000
owd_downlink_ms,18.7822,3600000
correction_magnitude_mm,5.858011078089476,3400000
correction_magnitude_deg,0,3400000
prediction_position_error_mm,3.963861148804426,3600000
prediction_orientation_error_deg,0,3600000
owd_uplink_ms,21.0087,3700000
owd_downlink_ms,21.0087,3700000
owd_uplink_ms,19.4728,3700000
owd_downlink_ms,19.4728,3700000
prediction_position_error_mm,2.4504053872078657,3700000
prediction_orientation_error_deg,0,3700000
owd_uplink_ms,19.3577,3800000
owd_downlink_ms,19.3577,3800000
prediction_position_error_mm,3.606468206271529,3800000
prediction_orientation_error_deg,0,3800000
owd_uplink_ms,19.182,3900000
owd_downlink_ms,19.182,3900000
prediction_position_error_mm,0.7593457121402025,3900000
prediction_orientation_error_deg,0,3900000
prediction_position_error_mm,4.868644289672375,4000000
prediction_orientation_error_deg,0,4000000
owd_uplink_ms,19.4414,4100000
owd_downlink_ms,19.4414,4100000
prediction_position_error_mm,10.024270974099636,4100000
prediction_orientation_error_deg,0,4100000
owd_uplink_ms,20.9368,4200000
owd_downlink_ms,20.9368,4200000
prediction_position_error_mm,15.126294456422329,4200000
prediction_orientation_error_deg,0,4200000
prediction_position_error_mm,20.230401307344437,4300000
