name,value,ticks
prediction_position_error_mm,0,100000
prediction_orientation_error_deg,0,100000
prediction_position_error_mm,0,200000
prediction_orientation_error_deg,0,200000
prediction_position_error_mm,0,300000
prediction_orientation_error_deg,0,300000
prediction_position_error_mm,0,400000
prediction_orientation_error_deg,0,400000
prediction_position_error_mm,0,500000
prediction_orientation_error_deg,0,500000
prediction_position_error_mm,1299.9999523162842,600000
prediction_orientation_error_deg,0,600000
prediction_position_error_mm,1300.0023365020752,700000
prediction_orientation_error_deg,0,700000
prediction_position_error_mm,1300.0091314315796,800000
prediction_orientation_error_deg,0,800000
prediction_position_error_mm,1300.0091314315796,900000
prediction_orientation_error_deg,0,900000
prediction_position_error_mm,1300.0361919403076,1000000
prediction_orientation_error_deg,0,1000000
owd_uplink_ms,44.0932,1100000
owd_downlink_ms,44.0932,1100000
correction_magnitude_mm,1299.9999523162842,629602
correction_magnitude_deg,0,629602
prediction_position_error_mm,24.9902606010437,1100000
prediction_orientation_error_deg,0,1100000
owd_uplink_ms,47.1239,1200000
owd_downlink_ms,41.9135,1200000
prediction_position_error_mm,22.72513508796692,1200000
prediction_orientation_error_deg,0,1200000
owd_uplink_ms,43.2801,1300000
owd_downlink_ms,42.4165,1300000
correction_magnitude_mm,8.340687490999699,822009
correction_magnitude_deg,0,822009
prediction_position_error_mm,28.83659116923809,1300000
prediction_orientation_error_deg,0,1300000
prediction_position_error_mm,28.423208743333817,1400000
prediction_orientation_error_deg,0,1400000
owd_uplink_ms,47.096,1500000
owd_downlink_ms,39.8503,1500000
correction_magnitude_mm,15.044795349240303,1012952
correction_magnitude_deg,0,1012952
prediction_position_error_mm,32.31550008058548,1500000
prediction_orientation_error_deg,0,1500000
owd_uplink_ms,52.7874,1600000
owd_downlink_ms,50.4269,1600000
prediction_position_error_mm,31.665775924921036,1600000
prediction_orientation_error_deg,0,1600000
owd_uplink_ms,46.2126,1700000
owd_downlink_ms,50.1799,1700000
correction_magnitude_mm,14.863831922411919,1114960
correction_magnitude_deg,0,1114960
prediction_position_error_mm,33.95361825823784,1700000
prediction_orientation_error_deg,0,1700000
owd_uplink_ms,55.6202,1800000
owd_downlink_ms,46.1913,1800000
correction_magnitude_mm,18.34225095808506,1303173
correction_magnitude_deg,0,1303173
prediction_position_error_mm,30.881650745868683,1800000
prediction_orientation_error_deg,0,1800000
owd_uplink_ms,47.9519,1900000
owd_downlink_ms,53.6374,1900000
correction_magnitude_mm,12.741567566990852,1310279
correction_magnitude_deg,0,1310279
prediction_position_error_mm,1.1957495007663965,1900000
prediction_orientation_error_deg,0,1900000
owd_uplink_ms,42.3064,2000000
owd_downlink_ms,45.0677,2000000
correction_magnitude_mm,5.140361841768026,1513730
correction_magnitude_deg,0,1513730
prediction_position_error_mm,9.762094356119633,2000000
prediction_orientation_error_deg,0,2000000
owd_uplink_ms,59.6423,2100000
owd_downlink_ms,51.2914,2100000
prediction_position_error_mm,6.720330566167831,2100000
prediction_orientation_error_deg,0,2100000
owd_uplink_ms,49.4472,2200000
owd_downlink_ms,43.5658,2200000
prediction_position_error_mm,13.948541134595871,2200000
prediction_orientation_error_deg,0,2200000
owd_uplink_ms,55.0592,2300000
owd_downlink_ms,56.9207,2300000
prediction_position_error_mm,20.756270736455917,2300000
prediction_orientation_error_deg,0,2300000
owd_uplink_ms,49.4678,2400000
owd_downlink_ms,50.9998,2400000
owd_uplink_ms,41.9263,2400000
owd_downlink_ms,47.1628,2400000
prediction_position_error_mm,15.296378172934055,2400000
prediction_orientation_error_deg,0,2400000
prediction_position_error_mm,22.732125595211983,2500000
prediction_orientation_error_deg,0,2500000
owd_uplink_ms,56.9681,2600000
owd_downlink_ms,41.3241,2600000
correction_magnitude_mm,6.848003249615431,2087172
correction_magnitude_deg,0,2087172
owd_uplink_ms,48.3353,2600000
owd_downlink_ms,50.0382,2600000
prediction_position_error_mm,14.496085233986378,2600000
prediction_orientation_error_deg,0,2600000
prediction_position_error_mm,23.966452106833458,2700000
prediction_orientation_error_deg,0,2700000
owd_uplink_ms,53.5115,2800000
owd_downlink_ms,48.2734,2800000
prediction_position_error_mm,28.20644900202751,2800000
prediction_orientation_error_deg,0,2800000
owd_uplink_ms,42.7977,2900000
owd_downlink_ms,44.7685,2900000
correction_magnitude_mm,10.065114125609398,2385218
correction_magnitude_deg,0,2385218
prediction_position_error_mm,28.194883838295937,2900000
prediction_orientation_error_deg,0,2900000
owd_uplink_ms,51.9023,3000000
owd_downlink_ms,51.8114,3000000
prediction_position_error_mm,32.41468220949173,3000000
prediction_orientation_error_deg,0,3000000
owd_uplink_ms,52.4313,3100000
owd_downlink_ms,46.1287,3100000
correction_magnitude_mm,10.710459202528,2577227
correction_magnitude_deg,0,2577227
prediction_position_error_mm,32.53590688109398,3100000
prediction_orientation_error_deg,0,3100000
owd_uplink_ms,52.2449,3200000
owd_downlink_ms,50.0072,3200000
correction_magnitude_mm,16.516147181391716,2674431
correction_magnitude_deg,0,2674431
owd_uplink_ms,47.2924,3200000
owd_downlink_ms,51.4652,3200000
correction_magnitude_mm,11.491813696920872,2679648
correction_magnitude_deg,0,2679648
prediction_position_error_mm,8.910550735890865,3200000
prediction_orientation_error_deg,0,3200000
prediction_position_error_mm,16.847506165504456,3300000
prediction_orientation_error_deg,0,3300000
owd_uplink_ms,40.6962,3400000
owd_downlink_ms,52.0261,3400000
prediction_position_error_mm,16.906296834349632,3400000
prediction_orientation_error_deg,0,3400000
owd_uplink_ms,40.9036,3500000
owd_downlink_ms,42.7977,3500000
owd_uplink_ms,42.3271,3500000
owd_downlink_ms,57.0033,3500000
prediction_position_error_mm,18.710939213633537,3500000
prediction_orientation_error_deg,0,3500000
prediction_position_error_mm,26.69302374124527,3600000
prediction_orientation_error_deg,0,3600000
owd_uplink_ms,43.294,3700000
owd_downlink_ms,39.6602,3700000
correction_magnitude_mm,10.024650022387505,3209981
correction_magnitude_deg,0,3209981
owd_uplink_ms,51.412,3700000
owd_downlink_ms,56.5759,3700000
prediction_position_error_mm,26.18415653705597,3700000
prediction_orientation_error_deg,0,3700000
prediction_position_error_mm,24.483444169163704,3800000
prediction_orientation_error_deg,0,3800000
owd_uplink_ms,53.5653,3900000
owd_downlink_ms,45.2675,3900000
correction_magnitude_mm,12.737246230244637,3406062
correction_magnitude_deg,0,3406062
owd_uplink_ms,44.4159,3900000
owd_downlink_ms,48.4911,3900000
correction_magnitude_mm,9.305480867624283,3411155
correction_magnitude_deg,0,3411155
prediction_position_error_mm,2.0479941740632057,3900000
prediction_orientation_error_deg,0,3900000
prediction_position_error_mm,4.633442498743534,4000000
prediction_orientation_error_deg,0,4000000
owd_uplink_ms,49.3998,4100000
owd_downlink_ms,52.0687,4100000
prediction_position_error_mm,13.783048838376999,4100000
prediction_orientation_error_deg,0,4100000
prediction_position_error_mm,16.436316072940826,4200000
prediction_orientation_error_deg,0,4200000
owd_uplink_ms,57.305,4300000
owd_downlink_ms,49.7854,4300000
prediction_position_error_mm,19.813084974884987,4300000
prediction_orientation_error_deg,0,4300000
owd_uplink_ms,49.944,4400000
owd_downlink_ms,49.692,4400000
correction_magnitude_mm,6.223662756383419,3804774
correction_magnitude_deg,0,3804774
owd_uplink_ms,58.7063,4400000
owd_downlink_ms,57.4329,4400000
prediction_position_error_mm,19.480612128973007,4400000
prediction_orientation_error_deg,0,4400000
prediction_position_error_mm,17.263012006878853,4500000
prediction_orientation_error_deg,0,4500000
owd_uplink_ms,53.7524,4600000
